AMI4;Vous souhaitez allier convivialité et détente ? Vacances directes vous présente le mobil-home Amical 4 places. Il vous permettra de vous ressourcer dans une ambiance intime et confortable... Amicalement vôtre !;"4 personnes
Recommandé : 2 adultes + 2 enfants, bébé compris
Toléré : 3 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 18 m²
Longueur 6 m x Largeur 3 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes
Chambre enfants : 2 lits superposés de 80x190 cm avec sommiers à lattes. Sur certains campings, les lits sont côte à côte
Pièce commune : coin cuisine avec évier, chauffe-eau, gaz 4 feux, réfrigérateur, coin repas, 1 table et 2 tabourets, banquette. Pas de micro-ondes
Sanitaires : salle de bains avec lavabo et douche, WC séparé
";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, parasol non utilisable à la plage, salon de jardin
Electricité : 6 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";7-12 ans (sauf 0-7 ans : les Oyats, Petit Bois (Cantal), Palavas Camping, Saint-Louis);En fonction du camping, l’agencement peut être différent. Tous les hébergements ne sont pas équipés de terrasse;Pas de place pour un lit bébé;Sur Palavas Camping, retrouvez le mobil-home Amical de 27 m² avec paillotte - 4 adultes maxi.
CH46;"Parfaitement intégré au coeur de paysages magnifiques, il est l’endroit parfait pour renouer avec la nature à deux ou en famille.


";6 personnes Recommandé : 2 adultes+ 4 enfants Toléré : 6 adultes;Surface : 28m²;Chambre parents : 1 lit de 120 cm Chambre enfants : 2x lits de 70 cm Pièce commune : coin cuisine, salle d'eau avec toilette, pièce principale avec canapé convetible.;"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, salon de jardin
Electricité : 6 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";0-7 ans;En fonction du camping, l’agencement peut être différent.;;
CHA5;Pour des vacances atypiques, profitez de ce chalet tout confort en bois, à l'ombre des arbres. Avec ses deux chambres et sa terrasse, c'est un hébergement idéal pour des vacances mémorables.;"5 personnes
Recommandé : 2 adultes + 3 enfants, bébé compris
Toléré : 4 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 28 m²
Longueur 5,95 m x Largeur 4,80 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes
Chambre enfants : 2 lits de 80x190 cm avec sommiers à lattes et 1 lit superposé (déconseillé aux enfants de - 6 ans) de 80x200 cm au camping Le Petit Mousse
Pièce commune : coin cuisine avec évier, chauffe-eau, plaques électriques, réfrigérateur, coin repas, 1 table et 2 tabourets, banquette transformable en lit 1 personne au camping Le Mas. Pas de micro-ondes.
Sanitaires : salle de bains avec lavabo et douche, WC séparé";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, salon de jardin
Electricité : 6 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";Plus de 12 ans;En fonction du camping, l’agencement peut être différent.;;
CON5;La Conviviale est l'hébergement idéal pour des vacances en famille. Cette caravane 5 places avec auvent et sanitaires vous fera redécouvrir toutes les joies et tous les plaisirs de l'hôtellerie de plein air. A vous la liberté et le bonheur simple... ;"5 personnes
Recommandé : 2 adultes + 3 enfants, bébé compris
Toléré : 4 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : Conviviale 13 m² + auvent 12 m²
Longueur 5,40 m x Largeur 4,80 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes et penderie
Chambre enfants : 2 lits superposés de 70x180 cm avec sommiers à lattes, dînette se transformant en lit de 80 x 180 cm.
Sanitaires : salle de bains avec lavabo, douche, WC
Sous l’auvent : cuisine avec
réfrigérateur, réchaud 2 feux
avec bouteille de gaz, meuble de
rangement 120 x 150 cm, évier avec
arrivée d’eau, salon de jardin";"Electricité : 220 V + prises
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)";Plus de 12 ans;En fonction du camping, l’agencement peut être différent.;Hébergement avec sanitaires, sans chauffage;
COR4;Ce mobil-home bien pensé vous offrira des vacances conviviales et reposantes.;4 personnes;Surface : 25 m²;"Chambre parents : 1 lit de 140x190 cm
Chambre enfants : 2 lits de 80 x 180 cm
Pièce commune : coin cuisine avec évier, chauffe-eau, plaques de cuisson, micro-ondes, réfrigérateur, coin repas
Sanitaires : salle de bains avec lavabo, douche et WC 
";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, salon de jardin
Electricité : 6 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";0-7 ans;En fonction du camping, l’agencement peut être différent.;;
COR6;Soif d'évasion, de dépaysement et d'authenticité, Vacances directes met à votre disposition le mobil-home Cordial 6 places qui réjouira petits et grands et assurera la pleine réussite de vos vacances !;"6 personnes
Recommandé : 2 adultes + 4 enfants, bébé compris
Toléré : 5 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 23 m²
Longueur 7,60 m x Largeur 3 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes
Chambre enfants : 2 lits de 70x180 cm avec sommiers à lattes + 1 lit superposé de 60x180 cm (ne convient pas aux enfants de - 6 ans), sauf à La Marine
Pièce commune : coin cuisine avec évier, chauffe-eau, gaz 4 feux, micro-ondes, réfrigérateur, coin repas, banquette transformable en lit de 115x180 cm (sauf en Italie), 1 table et 2 tabourets
Sanitaires : salle de bains avec lavabo et douche, WC séparé (sauf en Italie)
";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, parasol non utilisable à la plage et salon de jardin
Electricité : 6 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";0-7 ans (sauf 7-12 ans : le California, le Col Vert, les Marsouins, le Cala Gogo, les Fontaines, le Pinada, la Marine, Camping du Lac, Saint-Louis et plus de 12 ans : Le Mas);En fonction du camping, l’agencement peut être différent. Tous les hébergements ne sont pas équipés de terrasse;;
DOM5;Découvrez le Domanial 5 places. Ce mobil-home bien agencé vous attend pour des vacances sous le signe du sourire.;"5 personnes
Recommandé : 2 adultes + 3 enfants, bébé compris
Toléré : 4 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 31 m²
Longueur 7,80 m x Largeur 4 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes (sauf Domaine de Léveno, lit de 160x190 cm)
Chambre enfants : 2 lits de 80x190 cm avec sommiers à lattes
Pièce commune : coin cuisine avec évier, chauffe-eau, gaz 4 feux, micro-ondes, réfrigérateur, coin repas avec banquette transformable en lit de 115x180 cm (sauf Les Deux Fontaines
et Loyada, 90x190 cm), 1 table et 4 chaises
Sanitaires : salle de bains avec lavabo et douche, WC séparé";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, parasol non utilisable à la plage et salon de jardin
Electricité : 10 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";0-7 ans;En fonction du camping, l’agencement peut être différent. Tous les hébergements ne sont pas équipés de terrasse;Bains de soleil non fournis;
DOM6;Parce que chacun vit ses vacances à son rythme, Vacances directes vous propose le mobil-home Domanial où espace de vie rime avec confort ! ;"6 personnes
Recommandé : 2 adultes + 4 enfants, bébé compris
Toléré : 5 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 31 m²
Longueur 7,80 m x Largeur 4 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes
Chambre enfants : 2 lits de 80x190 cm avec sommiers à lattes + 1 lit superposé (ne convient pas aux enfants de - 6 ans) ou d’appoint de 70x190 cm
Pièce commune : coin cuisine avec évier, chauffe-eau, gaz 4 feux, micro-ondes, réfrigérateur, coin repas avec banquette transformable en lit de 115x180 cm, 1 table et 4 chaises
Sanitaires : salle de bains avec lavabo et douche, WC séparé
";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, parasol non utilisable à la plage et salon de jardin
Electricité : 10 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)
";0-7 ans (sauf 7-12 ans : le Conguel, Domaine de Kermario, la Loubine, les Deux Plages, les Vignes, le Mas, le Petit Mousse, le Bahia Club, les Fontaines);En fonction du camping, l’agencement peut être différent. Tous les hébergements ne sont pas équipés de terrasse;Bains de soleil non fournis;
DOML;Parce que chacun a des envies et des exigences propres, Vacances directes vous propose un mobil-home d'exception ! Spacieux et bien équipé, le mobil-home Domanial Luxe vous offrira des vacances tout confort.;"6 personnes
Recommandé : 2 adultes + 4 enfants, bébé compris
Toléré : 5 adultes maxi. + 1 enfant, bébé compris
Adulte : à partir de 14 ans
";"Surface : 35 m²
Longueur 9,72 m x Largeur 4 m
";"Chambre parents : 1 lit de 140x190 cm avec sommier à lattes, volets roulants
Chambre enfants : 2 lits de 80x190 cm avec sommiers à lattes, volets roulants
Pièce commune : coin cuisine avec évier, chauffe-eau, gaz 4 feux, micro-ondes, réfrigérateur, coin repas avec 1 table avec rallonge et 4 chaises, coin séjour avec canapé convertible en couchage 160x200cm et table basse
Sanitaires : salle de bains avec lavabo et douche, WC séparé
";"Intérieur : chauffage électrique, 2 bouteilles de gaz
Extérieur : lumière, parasol non utilisable à la plage et salon de jardin
Electricité : 10 ampères
Parking : sur emplacement pour un seul véhicule (sauf mention contraire)";7-12 ans;En fonction du camping, l’agencement peut être différent. Tous les hébergements ne sont pas équipés de terrasse;;
EMPL;"Passez quelques jours ou plus
sur le Domaine de Kermario,
à Carnac ou
au Palavas Camping,
à Palavas-les-Flots. 
et profitez des joies du plein-air";Jusqu'à 6 personnes maximum;;;Accès à l'électricité;;Un seul véhicule est autorisé par emplacement ;;
