1;de;Tischtennis (Gratis);;
1;en;Ping-pong (Gratuit);;
1;fr;Ping-pong (Gratuit);;
1;nl;Ping-pong (Gratuit);;
2;de;Kinderclub;Kinder werden für Sport, Spiel und Spaß von unseren Animateuren im Kinderclub der Campinganlage empfangen.;Kinder, Spiel, Schatzsuche, Sport, Club
2;en;Club enfants;;
2;fr;Club enfants;les enfants seront accueillis au club par les animateurs du camping pour des activités sportives, ludiques et amusantes;enfant, jeux, activité, chasse au trésor, sport, club
2;nl;Club enfants;;
3;de;Boule-Spiel (Gratis);;
3;en;Pétanque (Gratuit);;
3;fr;Pétanque (Gratuit);;
3;nl;Pétanque (Gratuit);;
4;de;Teenagerclub;Teenager werden für Sport und Spiel von unseren Animateuren im Club empfangen.;Teenager, Animation, Sport, Spiel, Unterhaltung
4;en;Club ados;;
4;fr;Club ados;Les ados seront accueillis au club par des animateurs qui proposeront des activités ludiques et sportives;adolescent, animation, activité, sport, jeux, détente
4;nl;Club ados;;
5;de;Multisportanlage;Eine Multisportanlage steht für eine Vielzahl an Sportaktivitäten zur Verfügung (Fußball, Basketball, Handball und Volleyball);Sport, Basketball, Fußball, Handball, Volleyball
5;en;Terrain multisports;;
5;fr;Terrain multisports;Un terrain multisports pour profiter d'un maximum d'activités sportives (foot, basket, hand et volley);sport, basket, football, handball, volleyball
5;nl;Terrain multisports;;
6;de;Fitness-Center;Bleiben Sie in Form und nutzen Sie unser Fitness-Center;Center, Sport, Fitness, Wellness
6;en;Salle de musculation et fitness;;
6;fr;Salle de musculation et fitness;Soyez en forme, profitez de la salle de musculation et du fitness…;salle de sport, musculation, fitness, remise en forme
6;nl;Salle de musculation et fitness;;
7;de;Discothek in der Nähe;In der naheliegenden Diskothek können Sie bis in die frühen Morgenstunden tanzen!;Diskothek, Tanzen, Abend, Animation
7;en;Discothèque à proximité;;
7;fr;Discothèque à proximité;Retrouvez à proximité du camping une discothèque qui vous fera danser jusqu'au bout de la nuit !;discothèque, danse, soirée, animation
7;nl;Discothèque à proximité;;
8;de;Minigolf in der Nähe;Genießen Sie eine Partie Minigolf mit Freunden oder Familie und lüften Sie das Geheimnis von Hindernissen und Saltos!;Minigolf, Bahn, Spiel, Famille, Freunde
8;en;Mini golf à proximité;;
8;fr;Mini golf à proximité;Retrouve- vous en famille ou entre amis pour une partie de mini golf : obstacles, contournements et autres saltos n'auront plus de secrets !;mini golf, parcours, jeu, famille, amis
8;nl;Mini golf à proximité;;
9;de;Tennis in der Nähe;Genießen Sie Ihre Ferien unter dem Motto „Sport“ und nutzen Sie die naheliegenden Tennisplätze;Tennis, Racket, Ball
9;en;Tennis à proximité;;
9;fr;Tennis à proximité;Pratiquez le tennis, pour des vacances placées sous le signe du sport;tennis, raquette, balle
9;nl;Tennis à proximité;;
10;de;Golf in der Nähe;Ein Golfplatz für Anfänger und Fortgeschrittene … und für außergewöhnliche Ferien;Golf, Green, Parcours, 9-Loch, 18-Loch, Club, Tee
10;en;Golf à proximité;;
10;fr;Golf à proximité;un parcours de golf, pour les initiés ou non, pour des vacances originales;golf, green, parcours, 9 trous, 18 trous, club, tee
10;nl;Golf à proximité;;
11;de;Reiten in der Nähe;Ausritte zu Pferd oder Pony … Nutzen Sie die naheliegende Reitanlage für Ihre Ferien;Reiten, Pferd, Pony, Wandern, Reitanlage
11;en;Equitation à proximité;;
11;fr;Equitation à proximité;Balade à cheval ou à dos de poney, profitez du centre équestre pour vos vacances;équitation, cheval, poney, randonnée, centre équestre
11;nl;Equitation à proximité;;
12;de;Fischen in der Nähe;Wattfischen, Teich- oder Flussangeln … entspannen Sie!;Fischen, Fisch, Angelrute, Reuse, Schalentiere, Süsswasser, Meerwasser, Fluss, See
12;en;Pêche à proximité;;
12;fr;Pêche à proximité;Pêche à pied, en étang ou en rivière... détendez vous !;pêche, poisson, canne à pêche, casier, crustacés, eau douce, eau de mer, rivière, lac
12;nl;Pêche à proximité;;
13;de;Kanu;;
13;en;Canoë;;
13;fr;Canoë;;
13;nl;Canoë;;
